wallet_address,confidence_label,composite_rank,composite_score,in_scope_trade_count,in_scope_volume_usd,clean_activity_records,raw_activity_records,activity_capped,wash_vol_share,wash_label,primary_conviction_signal,primary_signal_trade_count,primary_signal_notional_usd,primary_signal_implied_profit_usd,size_anomaly_signal,size_anomaly_trade_count,scope_concentration_signal,middling_price_accuracy_signal,middling_price_trade_count,middling_price_hit_rate,sweep_penalty,near_certain_correct_share
0x5269bc324d8affb5d0393a48f06f8d95c54645f0,Volume farmer,196,0.0,0,0,46,60,False,0.9038,volume_farmer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x53a4f5be7d64abd9c49835374b5686cb86454447,Volume farmer,197,0.0,0,0,1719,2000,True,0.5101,volume_farmer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x53e55bc7cb3d67ad177c023ce891ad076a9d6177,Insufficient data,198,0.0,0,0,1354,2000,True,0.3831,partial_washer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x54b56146656e7eef9da02b3a030c18e06e924b31,Volume farmer,199,0.0,0,0,332,2000,True,0.8405,volume_farmer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x54ea11bb74c2b2b198916d33127575e739ad4ae3,Volume farmer,200,0.0,0,0,45,57,False,0.9089,volume_farmer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x55173bc7f6e52f45ec05fd14fbc6f34e81b6e334,Insufficient data,201,0.0,0,0,1982,2000,True,0.0031,clean,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x551e72eda42a5ab39d6d78239a1d9bbb5db6b0e0,Benign sharp,202,0.0,54,129479.96,1949,2000,True,0.0752,clean,0.0,0,0,0,0.8,4,0.0558,0.0,0,0.0,0.973,0.973
0x5607e051300abf498a988eab909dde03c899fd15,Benign sharp,203,0.0,23,46889.55,433,643,False,0.2135,partial_washer,0.0,0,0,0,0.4,2,0.0751,0.0,0,0.0,0.794,1.0
0x562bc8068347268d9a69b8dd464d00eed0f9dc09,Insufficient data,204,0.0,13,520.72,1832,2000,True,0.1265,partial_washer,0.0,0,0,0,0.0,0,0.0023,0.0,0,0.0,0.0038,0.85
0x5858196bbcb5059a7f67904deb06755dc2adfbbf,Insufficient data,205,0.0,10,15791.39,1406,2000,True,0.3325,partial_washer,0.0,0,0,0,0.0,0,0.017,0.0,0,0.0,0.3158,1.0
0x58c028e7c41ba7ef2bde2142cd371cf491661c8e,Volume farmer,206,0.0,1,2.9,1814,2000,True,0.5286,volume_farmer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x5992fc75b0d4e83a762f21ef94e924e6f571c50c,Volume farmer,207,0.0,0,0,47,58,False,0.907,volume_farmer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x5a218c7ad04135830a45c41aaed7294df7809318,Insufficient data,208,0.0,0,0,1982,2000,True,0.0306,clean,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x5bc1e70ddaecaf9d0eda2b174579c5dcc4ab3a52,Volume farmer,209,0.0,0,0,70,81,False,0.5554,volume_farmer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x5c14eb6a6d5083c003daa8241ed559d2dc82cc49,Insufficient data,210,0.0,2,22036.28,1618,2000,True,0.0292,clean,0.0,0,0,0,0.2,1,0.0164,0.0,0,0.0,0.4407,1.0
0x5cd5c8d7a17c78d7389d8b87b611aed83322ac33,Insufficient data,211,0.0,38,3907.11,1962,2000,True,0.0157,clean,0.0,0,0,0,0.0,0,0.0086,0.0,0,0.0,0.0781,1.0
0x5d5e32dc9a054f4e4da123353dded3e2ac379a5e,Insufficient data,212,0.0,0,0,1928,2000,True,0.0637,clean,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x5e0e2580797ad9dd2786d7dc5f129781203112b3,Volume farmer,213,0.0,0,0,72,126,False,0.7169,volume_farmer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x5e9c76f30788f31f6c6867f5f44b1e95a7a7cd75,Insufficient data,214,0.0,0,0,1983,2000,True,0.01,clean,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x5ecde7348ea5100af4360dd7a6e0a3fb1d420787,Insufficient data,215,0.0,19,3268.13,1537,2000,True,0.394,partial_washer,0.0,0,0,0,0.0,0,0.003,0.0,0,0.0,0.0455,0.8756
0x5ed4f8062ead4dea870c7e9f30815dbe62c78458,Insufficient data,216,0.0,0,0,7,9,False,0.1046,partial_washer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x5eec1b59273669498cd2cbdda7947a46087ef4e2,Volume farmer,217,0.0,82,31051.94,929,2000,True,0.623,volume_farmer,0.0,0,0,0,0.0,0,0.1058,0.0,0,0.0,0.4356,1.0
0x5f390e4b7d6f06d6756a6c92afdbf7b3176aa78c,Insufficient data,218,0.0,0,0,1992,2000,True,0.0001,clean,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x631c2b93ff03c21d29b2b73af4ff965e88ea450f,Insufficient data,219,0.0,5,632.21,1362,2000,True,0.4752,partial_washer,0.0,0,0,0,0.0,0,0.0006,0.0,0,0.0,0.0114,0.9642
0x63274ff0dd147d2b106d4d6b21817e59418be181,Volume farmer,220,0.0,0,0,948,2000,True,0.9702,volume_farmer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x63d43bbb87f85af03b8f2f9e2fad7b54334fa2f1,Insufficient data,221,0.0,3,401.2,2000,2000,True,0.0,clean,0.0,0,0,0,0.0,0,0.0003,0.0,0,0.0,0.008,0.9955
0x668d85d791049bf0100e557a72c7ed4dc97297d2,Insufficient data,222,0.0,263,31963.22,1597,2000,True,0.3355,partial_washer,0.0,0,0,0,0.0,0,0.0411,0.1,2,1.0,0.1535,0.519
0x6828e04b468e17d92fa1e5d60d59290278a81056,Insufficient data,223,0.0,0,0,1190,2000,True,0.2901,partial_washer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x682e388668c2da2c40631665dea992b8a72b70bd,Insufficient data,224,0.0,0,0,758,991,False,0.1422,partial_washer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x687e59938610cf71003c56ec34eb850b42d54a93,Insufficient data,225,0.0,0,0,4,4,False,0.0,clean,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x69645cea639e7a19cbde6c126a197bc1abafef53,Insufficient data,226,0.0,0,0,1596,2000,True,0.2406,partial_washer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x6996ae50436e2e72ab1777df915b40ad0bb6408d,Benign sharp,227,0.0,2,29609.69,879,1042,False,0.1658,partial_washer,0.0,0,0,0,0.2,1,0.0677,0.0,0,0.0,0.5922,1.0
0x69aa9fa621403e3a121b29ad77d32ba9eb5e8847,Insufficient data,228,0.0,0,0,1836,2000,True,0.0581,clean,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x69ea0d77ef34f1acb03aaed901df7620fc4215cd,Insufficient data,229,0.0,0,0,1823,2000,True,0.1563,partial_washer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x6a1b7fbe995f76959566e2d22f4921f5e1201bd8,Volume farmer,230,0.0,0,0,14,26,False,0.9997,volume_farmer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x6a63e1c3b7f211574889a0adedc98aeeae02eec2,Volume farmer,231,0.0,0,0,36,2000,True,0.996,volume_farmer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x6a72dfe9e6c4cdb3c7ce3bc2b20a67788c66f81d,Insufficient data,232,0.0,0,0,2000,2000,True,0.0,clean,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
